Generation,P0_meanFit,P0_varFit,relFitness,N,Patch_Number,S_OD,Unnamed: 0,cMperChrom,fit_MAC,fit_PAC,generalCommandsPath,generalOutputPath,migration_scenario,mu,nbChrom,nbGenerations,nbLoci,nbLoci_MAC,nbLoci_OD,nbLoci_PAC,nbPairsLoci_OD,nbReplicates,outputOptions,selectionOn,simulationSuperSetID
10,0.9785006459999998,0.0006635029999999999,0.9785006459999998,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
11,0.9791164310000008,0.0006142919999999994,0.9791164310000008,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
12,0.9797370989999996,0.0005775539999999993,0.9797370989999996,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
13,0.980311958999999,0.0005452009999999999,0.980311958999999,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
14,0.9808400180000009,0.0005207140000000001,0.9808400180000009,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
15,0.9813515970000002,0.0004976190000000005,0.9813515970000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
16,0.9817972949999996,0.00047902199999999995,0.9817972949999996,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
17,0.9822935059999991,0.0004609669999999995,0.9822935059999991,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
18,0.9827282759999998,0.00044344200000000005,0.9827282759999998,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
19,0.9831693190000015,0.0004284500000000002,0.9831693190000015,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
20,0.9835935889999998,0.00041400499999999973,0.9835935889999998,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
21,0.9839884120000018,0.00040076099999999986,0.9839884120000018,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
22,0.9843607179999995,0.00039005,0.9843607179999995,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
23,0.9847382120000002,0.0003776189999999998,0.9847382120000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
24,0.9851218379999999,0.0003670290000000002,0.9851218379999999,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
25,0.9854808729999996,0.00035662500000000006,0.9854808729999996,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
26,0.9858308589999996,0.00034753799999999983,0.9858308589999996,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
27,0.9861917540000001,0.0003376880000000003,0.9861917540000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
28,0.9865476790000004,0.0003261779999999996,0.9865476790000004,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
29,0.9868835419999998,0.00031739100000000015,0.9868835419999998,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
30,0.9872198350000002,0.0003089719999999997,0.9872198350000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
31,0.9875164870000007,0.0003018070000000002,0.9875164870000007,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
32,0.9878005490000005,0.0002944009999999999,0.9878005490000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
33,0.9880816519999995,0.0002872579999999998,0.9880816519999995,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
34,0.9883639380000001,0.00027912699999999973,0.9883639380000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
35,0.9886366820000002,0.00027212600000000003,0.9886366820000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
36,0.9889323350000004,0.0002643470000000001,0.9889323350000004,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
37,0.9891825149999994,0.00025806599999999983,0.9891825149999994,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
38,0.9894351090000001,0.0002520630000000002,0.9894351090000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
39,0.9896980319999995,0.00024539700000000006,0.9896980319999995,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
40,0.9899361449999999,0.00023929300000000026,0.9899361449999999,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
41,0.9901624969999997,0.00023353499999999988,0.9901624969999997,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
42,0.990410265,0.00022803500000000002,0.990410265,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
43,0.9906346340000002,0.00022177100000000022,0.9906346340000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
44,0.990845197000001,0.000216486,0.990845197000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
45,0.9910501670000003,0.00021101000000000005,0.9910501670000003,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
46,0.9912830949999997,0.00020553799999999987,0.9912830949999997,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
47,0.9914806900000013,0.00020113700000000008,0.9914806900000013,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
48,0.9916870560000001,0.0001970890000000001,0.9916870560000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
49,0.9918655870000013,0.00019279699999999987,0.9918655870000013,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
50,0.9920349170000001,0.00018856399999999992,0.9920349170000001,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
51,0.9922042939999994,0.00018445200000000012,0.9922042939999994,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
52,0.9923922579999981,0.00018008699999999986,0.9923922579999981,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
53,0.9925680189999995,0.000175475,0.9925680189999995,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
54,0.9927338850000004,0.00017164199999999985,0.9927338850000004,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
55,0.9928860409999991,0.00016773800000000012,0.9928860409999991,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
56,0.9930392580000005,0.0001640159999999998,0.9930392580000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
57,0.9932020550000005,0.00016019499999999994,0.9932020550000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
58,0.9933670529999993,0.000156429,0.9933670529999993,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
59,0.9935118800000008,0.0001532950000000002,0.9935118800000008,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
